Project name,Funnel,Project Category,Project Type,Block,Fiscal Terms,CVX Share,Project POS,Delin Count,Well depth,Initial Yield,Ya,Yb,WI,BTU,N2,CO2,Risked Well Count,Meas Gas BTU Reserve (BCF),Mean Condy Reserves (MBBL),Mean Oil Reserves (MBBL),Mean Sol.Gas Reserves (BCF),OPEX,Extra OPEX, Risked WHP Count ,Extra platform costs,Risked Pipeline Count,Extra pipeline costs,Delin Costs,Well Costs,Extra well costs,Risked Rigmove Count,Initial TTP costs,WHP aban. Costs,Well aban. Costs,Slot recovery costs,Drilling days,Rigmove days,Oil IP,Oil Hold Reserves,Oil Decline Rate,Oil AR,Gas BTU IP,Gas Hold Reserves,Gas Decline Rate,Gas BTU AR,Mode 1 flag,Mode 1 Date,Drilling Start Date,Online Date,Project Duration,Depletion Date,Year_DC,Year_WHP,Year_Delin,Total Wells,Total Delin,CH4,Trunkline,Operating Area,Plateau
 AQD-14 , AQCPP , G , WHP , B52 , PSC , 0.429 , 0.88 , 1.00 ," 9,732 ", 19.19 , 8.24 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 11 , 42.30 , 0.57 , -   , -   , 4.50 , -   , 0.88 , -   , 0.88 , -   , 3.12 , 11.44 , -   , 1.00 , 1.83 , 1.00 , 11.44 , -   , 81.57 , 7.00 , -   , -   , -   , -   , 52.92 , 12.69 , 0.00159 , 5.75 ,,10/30/2018,5/11/2018,8/1/2018, 82.00 ,5/1/2023,2018,2018,2018, 13.00 , 1.00 , 84.69 , S , AQ , 0.30 
 CVD-16 , AQCPP , G , WHP , B52 , PSC , 0.429 , 1.00 , -   ," 9,781 ", 9.61 , 4.94 , 1.00 , 969.06 , 955.84 , 3.93 , 14.51 , 20 , 74.36 , 0.51 , -   , -   , 4.50 , -   , 1.00 , -   , 1.00 , -   , -   , 20.00 , -   , 1.00 , 3.20 , 1.00 , 20.00 , -   , 144.40 , 7.00 , -   , -   , -   , -   , 105.14 , 24.79 , 0.00193 , 9.56 ,,3/23/2019,6/10/2018,11/1/2018, 144.00 ,5/1/2023,2018,2018,2018, 20.00 , -   , 89.60 , W , CV , 0.33 
 KLU-21 , AQCPP , G , WHP , B , PSC , 0.429 , 0.60 , 1.00 ," 8,466 ", 1.02 , 3.02 , 1.00 , 837.22 , 805.63 , 2.14 , 20.65 , 11 , 111.26 , 0.09 , -   , -   , 4.50 , -   , 0.60 , -   , 0.60 , -   , 3.12 , 10.80 , -   , 1.00 , 1.73 , 1.00 , 10.80 , -   , 57.76 , 7.00 , -   , -   , -   , -   , 50.20 , 40.23 , 0.00065 , 4.35 ,,11/21/2019,3/4/2019,5/1/2019, 58.00 ,3/1/2032,2019,2019,2019, 18.00 , 1.00 , 96.88 , N , KL , 0.36 
 KLD-17_RA , AQCPP , G , INFILL , B , PSC , 0.429 , 1.00 , -   ," 8,345 ", 1.67 , 16.03 , 1.00 ," 1,109.91 ", 980.71 , 1.02 , 6.23 , 7 , 25.35 , 0.03 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 7.00 , -   , 1.00 , 1.12 , -   , 7.00 , -   , 36.60 , 7.00 , -   , -   , -   , -   , 31.58 , 7.61 , 0.00159 , 3.43 ,,12/28/2019,6/25/2019,8/1/2019, 37.00 ,5/1/2024,2019,2019,2019, 7.00 , -   , 95.18 , N , KL , 0.30 
 KLD-22_RA , AQCPP , G , INFILL , B , PSC , 0.429 , 1.00 , -   ," 8,670 ", 1.75 , 15.74 , 1.00 ," 1,069.16 ", 953.67 , 2.02 , 7.48 , 7 , 25.10 , 0.03 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 7.00 , -   , 1.00 , 1.12 , -   , 7.00 , -   , 38.99 , 7.00 , -   , -   , -   , -   , 30.71 , 7.53 , 0.00156 , 3.34 ,,2/5/2020,7/24/2019,9/1/2019, 39.00 ,7/1/2024,2019,2019,2019, 7.00 , -   , 95.72 , N , KL , 0.30 
 KLD-24_RA , AQCPP , G , INFILL , B , PSC , 0.429 , 0.75 , -   ," 8,918 ", 1.75 , 20.89 , 1.00 ," 1,069.16 ", 953.67 , 2.02 , 7.48 , 5 , 18.91 , 0.02 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 5.25 , -   , 1.00 , 0.84 , -   , 5.25 , -   , 30.83 , 7.00 , -   , -   , -   , -   , 23.03 , 5.67 , 0.00155 , 2.50 ,,3/7/2020,8/31/2019,10/1/2019, 31.00 ,9/1/2024,2019,2019,2019, 7.00 , -   , 95.72 , N , KL , 0.30 
 KLU-19 , AQCPP , G , WHP , B , PSC , 0.429 , 0.85 , 1.00 ," 7,711 ", 1.14 , 3.81 , 1.00 , 964.80 , 887.68 , 1.66 , 13.51 , 17 , 97.13 , 0.08 , -   , -   , 4.50 , -   , 0.85 , -   , 0.85 , -   , 3.12 , 17.00 , -   , 1.00 , 2.72 , 1.00 , 17.00 , -   , 80.70 , 7.00 , -   , -   , -   , -   , 78.97 , 32.38 , 0.00110 , 7.55 ,,5/27/2020,9/11/2019,12/1/2019, 81.00 ,4/1/2027,2019,2019,2019, 20.00 , 1.00 , 96.40 , N , KL , 0.33 
 KLD-17_RB , AQCPP , G , INFILL , B , PSC , 0.429 , 1.00 , -   ," 8,026 ", 1.67 , 28.06 , 1.00 ," 1,109.91 ", 980.71 , 1.02 , 6.23 , 4 , 14.49 , 0.02 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 4.00 , -   , 1.00 , 0.64 , -   , 4.00 , -   , 19.82 , 7.00 , -   , -   , -   , -   , 18.05 , 4.35 , 0.00159 , 1.96 ,,12/14/2020,3/12/2020,4/1/2020, 20.00 ,1/1/2025,2020,2020,2020, 4.00 , -   , 95.18 , N , KL , 0.30 
 KLD-24_RB , AQCPP , G , INFILL , B , PSC , 0.429 , 0.75 , -   ," 8,817 ", 1.75 , 24.37 , 1.00 ," 1,069.16 ", 953.67 , 2.02 , 7.48 , 5 , 16.21 , 0.02 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 4.50 , -   , 1.00 , 0.72 , -   , 4.50 , -   , 25.85 , 7.00 , -   , -   , -   , -   , 19.74 , 4.86 , 0.00155 , 2.15 ,,1/9/2021,4/5/2020,5/1/2020, 26.00 ,3/1/2025,2020,2020,2020, 6.00 , -   , 95.72 , N , KL , 0.30 
 AQU-15 , AQCPP , G , WHP , B52 , PSC , 0.429 , 0.76 , 1.00 ," 9,610 ", 19.19 , 5.76 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 15 , 60.54 , 0.81 , -   , -   , 4.50 , -   , 0.76 , -   , 0.76 , -   , 3.12 , 15.20 , -   , 1.00 , 2.43 , 1.00 , 15.20 , -   , 105.15 , 7.00 , -   , -   , -   , -   , 70.32 , 18.16 , 0.00148 , 7.64 ,,4/24/2021,2/17/2020,6/1/2020, 105.00 ,8/1/2025,2020,2020,2020, 20.00 , 1.00 , 84.69 , OT , AQ , 0.30 
